user_input,retrieved_contexts,response,reference,faithfulness
?כמה יחידות דיור מתוכננות בתכנית,"['עיקרי הוראות התכנית 2.2\n  א.קביעת הוראות לאיחוד וחלוקה שלא בהסכמת בעלים לפי פרק ג\' סימן ז\' לחוק התכנון והבניה1965 .\n.ב.קביעת הוראות לשינוי יעוד: מיעוד מגורים ליעוד ""מגורים ומסחר"", ומיעוד דרך למבנים ומוסדות ציבור\nג.קביעת תכליות והוראות בניה לאזור המגורים והמסחר.\nד.קביעת מגרש ציבורי בייעוד ""מבנים ומוסדות ציבור"" בשטח של כ-1,439. מ""ר, וקביעת הוראות לגביו\nה.קביעת שטחים ציבוריים בנויים לשימושים ציבוריים וקביעת הוראות לגביהם.\nו.קביעת הוראות לבניית 240 - יח""ד בתמהיל מגוון ובממוצע של כ85   מ""ר )עיקרי+שירות(, בגובה10-19. קומות\nז.36  יחידות דיור מסך כל יחידות הדיור בתכנית זו יוקצו עבור דירות בהישג יד, בהתאם לתוספת השישית בחוק\nהתכנון והבניה. ח.קביעת הוראות לזיקת הנאה למעבר ושהייה של הולכי רגל בתחום התוכנית בשטח שלא יפחת מ-2,500', 'מ\' מרצפה לתקרה\n2:.תכסית\n)א(בניין א כמסומן בתשריט:\nתכסית מקסימלית בק.קרקע 690 ( מ""ר  )לא כולל קולונדה\nתכסית מקסימלית בק.טיפוסית 550 מ""ר\n)ב(בניין ב כמסומן בתשריט\nתכסית מקסימלית בק.קרקע 830  מ""ר\nתכסית מקסימלית בק.טיפוסית 680  מ""ר\n)ג(בניין ג כמסומן בתשריט\nתכסית מקסימלית בק.קרקע 750 ( מ""ר )לא כולל קולונדה\nתכסית מקסימלית בק.טיפוסית 680  מ""ר\n3 :.מס\' יח""ד למגורים ותמהיל שטחי דירות\n)א(מס\' יח""ד בכל שטח התכנית לא יעלה על 240 יח""ד\n)ב(שטח ממוצע ליח""ד כ-85.( מ""ר )עיקרי+ממ""ד\n)ג(גודל יחידת דיור מינימלי לא יפחת מ-40. מ""ר\n)ד(תמהיל שטח יח""ד )שטחי הדירות הנקובים מתייחסים לשטח דירה עיקרי+ממ""ד או שטח\nעיקרי במידה ונבנה פתרון מיגון חוץ דירתי(: \nלפחות 20%  דירות בשטח של עד65. מ""ר\nלפחות 20%   מהדירות  בשטח של66-85. מ""ר\nלפחות 25%  מהדירות בשטח של86-105', 'דברי הסבר לתכנית\nהתכנית בשטח 6725   מ""ר, ממוקמת בשכונת נווה עופר בין הרחובות השקד19-29  וזלמן שז""ר28-32 וכוללת\nחלקת מגורים בשטח של כ-5.2 - דונם, וקטע דרך בשטח של כ1.45  דונם המהווה את סיומו של רחוב גרינבוים\nומשמש כיום מגרש חניה וגינה ציבורית שבה ממוקם מבנה המשמש את השיטור הקהילתי.\nמגרש המגורים כולל כיום 5   בניינים מאוכלסים בני5. קומות כולל קומת קרקע מפולשת\nסה""כ 80. יח""ד קיימות\nמטרת התוכנית הינה התחדשות עירונית תוך יצירת סביבת מגורים איכותית עבור הדיירים, הגדלת היצע\nהדירות, והכללת פתרונות מיגון ומרפסות שמש, קביעת שטחים ציבוריים בנויים לטובת הציבור, זיקת הנאה\nלציבור ושינוי יעוד מדרך למגרש ביעוד מבנים ומוסדות ציבור.\nכל זאת ע""י קביעת הוראות ל:\n1 .הריסת5']","Based on the provided context, the planned number of housing units in this urban plan is:

240 יחידות דיור (240 housing units)

This is clearly stated in several places in the document:

1. In section ו, it mentions: ""קביעת הוראות לבניית 240 - יח""ד"" (Setting provisions for building 240 housing units)

2. In section 3(א), it states: ""מס' יח""ד בכל שטח התכנית לא יעלה על 240 יח""ד"" (The number of housing units in the entire plan area will not exceed 240 units)

The plan involves demolishing existing buildings with 80 units and replacing them with new construction containing a total of 240 housing units.",240,0.6666666666666666
מה שטח התכנית בדונם?,"['שטח התכנית 4.777 דונם\n1.4', 'דונם בין הרחובות הרכבת, הגר""א וראש פינה\nהתכנית מסדירה שטח בבעלות עירונית הקובעת אותו לייעוד משולב של שצ""פ ושב""צ.\nדף ההסבר מהווה רקע לתכנית ואינו חלק ממסמכיה הסטטוטוריים.\n 4539/  - תא/מק72  -', 'בעלי עניין/ בעלי זכויות בקרקע /עורך התכנית ובעלי מקצוע 1.8']","Based on the context provided from planning document 507-0376731, the area of the plan is 4.777 dunams (דונם).",4.777,0.5
?כמה יחידות דיור מתוכננות בתכנית,[],No answer generated,137,0.0
מה שטח התכנית בדונם?,"['שטח התכנית 1.615 דונם\n1.4', 'נתונים כמותיים עיקריים בתכנית 2.3\n1.615 שטח התכנית בדונם\nהערותסה""כ מוצע בתוכנית  )+/-(שינוי מצבערךסוג נתון כמותי \nמתארימפורטלמצב המאושר *מאושר*\n84+2460יח""דמגורים )יח""ד(\n4,008.1 4,008.1מ""רמגורים )מ""ר(\n403.8 403.8מ""רמסחר )מ""ר(\nבכל מקרה של סתירה בין נתוני טבלה זו לנתוני טבלה 5 -זכויות והוראות בניה מצב מוצע-גובר \nהאמור בטבלה 5.\n.* נתונים שניתן להוציא בעבורם היתרים מכוח תכניות מאושרות', 'בעלי עניין/ בעלי זכויות בקרקע /עורך התכנית ובעלי מקצוע 1.8']","Based on the context provided, the area of the plan (שטח התכנית) is 1.615 dunams (דונם).

This information is consistently stated twice in the document:
1. At the beginning: ""שטח התכנית 1.615 דונם""
2. In the quantitative data table: ""1.615 שטח התכנית בדונם""",1.615,1.0
?כמה יחידות דיור מתוכננות בתכנית,"['מטרת התכנית 2.1\n הכנת תכנית לפי סעיף23  לתמ""א38 , במטרה לעודד התחדשות עירונית וחיזוק מבנים נגד רעידות אדמה, הכוללת \nאת הבאות:\n1  . הריסת המבנה/המבנים הקיימים או מרביתם בחלקות 63,64,65  בגוש6213  והקמת מבנה/מבנים למגורים \nהכוללים קומת קרקע מסחרית, קולונדה לרחוב אבן גבירול ומשרדים או מסחר בעורף קומת הקרקע.\n2.. הגדלת מספר יח""ד\n3  . עיגון זכויות הבנייה ע""פ תמ""א38 . על תיקוניה והקלות לשיפור תכנון\n4 .. קביעת הוראות בינוי וגובה מבנים\n5 .. קביעת שטחי שירות למגורים , מסחר ומשרדים\n6 .. קביעת תנאים להיתר בניה', 'דברי הסבר לתכנית\nהתכנית בשטח של 1.615 \' דונם ממוקמת בדופן המזרחית של רחוב אבן גבירול בין הרחובות ז\'בוטינסקי ופרופ \nשור, בגוש 6213 , חלקות63-65   במלואן. התכנית הינה מכח סעיף23  לתמ""א38.\n:מטרות התכנית הן\n1 .הריסת המבנה/ המבנים הקיימים והקמת מבנה/ מבנים למגורים הכולל קומת קרקע למסחר  וקולונדה \nלחזית רחוב אבן גבירול ותעסוקה ומסחר בעורף.\n2 ..הגדלת צפיפות יח""ד\n3  .עיגון זכויות הבניה ע""פ תמ""א38. על תיקוניה וע""פ הקלות לשיפור תכנון\n4 ..קביעת הוראות בינוי וגובה המבנים\n5 ..קביעת שטחי שירות למגורים מסחר ומשרדים\n6 ..קביעת תנאים להיתר בניה\nחישוב זכויות הבניה הינו ע""פ זכויות הבניה התקפות למגורים ומסחר, מכוח תכנית 50  על שינוייה ומ\' בתוספת \nתמ""א 38. על תיקוניה ותוספת זכויות בניה בגין הקלות לשיפור תכנון\nהתכנון המוצע כולל קומת קרקע כמפורט, שש קומות טיפוסיות למגורים ומעליהן שתי קומות בנסיגה, הכוללות \nעד 84. יח""ד', 'נתונים כמותיים עיקריים בתכנית 2.3\n1.615 שטח התכנית בדונם\nהערותסה""כ מוצע בתוכנית  )+/-(שינוי מצבערךסוג נתון כמותי \nמתארימפורטלמצב המאושר *מאושר*\n84+2460יח""דמגורים )יח""ד(\n4,008.1 4,008.1מ""רמגורים )מ""ר(\n403.8 403.8מ""רמסחר )מ""ר(\nבכל מקרה של סתירה בין נתוני טבלה זו לנתוני טבלה 5 -זכויות והוראות בניה מצב מוצע-גובר \nהאמור בטבלה 5.\n.* נתונים שניתן להוציא בעבורם היתרים מכוח תכניות מאושרות']","Based on the provided context from planning document 507-0135467, the plan includes:

84 יחידות דיור (יח""ד)

This information can be found in two places:

1. In the explanatory text: ""התכנון המוצע כולל קומת קרקע כמפורט, שש קומות טיפוסיות למגורים ומעליהן שתי קומות בנסיגה, הכוללות עד 84. יח""ד""

2. In the quantitative data table: Under ""מגורים (יח""ד)"", it shows a total of 84 units proposed in the plan.",84,0.42857142857142855
מה שטח התכנית בדונם?,"['שטח התכנית 3.589 דונם\n1.4', 'בעלי עניין/ בעלי זכויות בקרקע /עורך התכנית ובעלי מקצוע 1.8', 'מרחבי תכנון גובלים בתכנית 1.5.8\nלא רלוונטי20-38  התחדשות בורמה5059-/ -']","Based on the information provided in the context, the answer to the question is:

שטח התכנית: 3.589 דונם

This area is explicitly stated in the first line of the given context from the planning document (plan number: 507-0898189).",3.589,0.6666666666666666
?כמה יחידות דיור מתוכננות בתכנית,"['\'מגורים ד 4.1\n2. תכסית קומת הגג החלקית לא תעלה על65%. משטח הקומה שמתחתיה\n3  .. תכסית המתקנים הטכניים בגג העליון תהיה מינימאלית\nמס\' יח""ד ותמהיל:\n1  .. תמהיל הדירות יקבע סופית בתכנית העיצוב\n2. שטח ממוצע ליח""ד59-72.( מ""ר )פלדלת\n3. לפחות25%   מיחידות הדיור יהיו קטנות בשטח כולל )פלדלת( של עד60. מ""ר\n4. לפחות30%   מיחידות הדיור יהיו בשטח כולל )פלדלת( של70-80. מ""ר\nמרחק בין בניינים וקווי בניין:\n1 ). מרחק מינימאלי בין המבנים בבינוי רקמתי8  קומות( יהיה8  מטרים מחזיתות המבנים לא\nכולל מרפסות.\nמרחק מינימאלי בין בניין רקמתי )8)  קומות( ובניין גבוה15  קומות( יהיה12 מטר )לפני הבלטת\nמרפסות(.\n2 .. במרווח בין המבנים הרקמתיים לא יופנו מרפסות\n3. יש לשמור על מרחק מינימלי של8. מטרים מבניינים סמוכים קיימים\n4 .. קווי הבניין יהיו כמפורט בתשריט\nחזיתות:\n1. בחזית הצפונית לרחוב בורמה ימוקמו שטחי הציבור המבונים ושטחים נלווים עבור המגורים\n)לדוגמא מבואות ופינוי אשפה(', 'דברי הסבר לתכנית\nהתוכנית ממוקמת ברחוב בורמה 20-38 , בשכונת קריית שלום, תל אביב- יפו. מטרת התוכנית הינה התחדשות\nעירונית בדרום העיר במתווה פינוי בינוי, וכוללת הריסת 2  מבני שיכון קיימים והקמת מבנים חדשים תוך מתן\nפתרונות מיגון, נגישות וחניה. בבינוי הקיים 80  יחידות דיור ב2  מבנים בני4. קומות\nהתוכנית קובעת שימושים ב-4  מבנים חדשים לאורך רחוב בורמה ודרך בן צבי, באופן הממשיך את רצף ומקצב\nהמבנים הקיים. שלושת המבנים המערביים הינם בבנייה מרקמית של 8  קומות ובניין אחד מזרחי בגובה של עד\n15   קומות. סך הכל היקף יחידות הדיור המוצע הינו198', 'עיקרי הוראות התכנית 2.2\n1  .. קביעת הוראות לאיחוד וחלוקה מחדש ללא הסכמת כל הבעלים ע""פ פרק ג\' סימן ז\' לחוק התכנון והבנייה\n2 .. שינויי הייעוד ממגורים ודרך לייעוד מגורים ד\' ושטח פרטי פתוח\n3 :. קביעת הוראות בינוי לכל שטח התכנית, כולל הנחיות לעיצוב המבנים, קומת הקרקע וקומות הגג\nא. הריסת שני מבני שיכון קיימים והקמת ארבעה מבנים חדשים בתמהיל דיור מגוון, תוך מציאת פתרונות למיגון\nדירתי, נגישות, גינון חוץ ומרחבי שהיה וכו\'\nב. 3   המבנים המערביים בגובה של עד8   קומות ומבנה מזרחי בן15. קומות כולל קומת הגג\n4. יצירת דופן רחוב וקביעת חזית רחוב פעילה הכוללת שטחי מסחר ושטחים ציבוריים בנויים בקומת הקרקע\nלאורך דרך בן צבי לטובת תושבי השכונה והסביבה. 5  -. קביעת שטחים בנויים לשימושים ציבוריים בהיקף שלא יפחת מ700. מ""ר, וקביעת הוראות לגביהם\n6. קביעת הוראות להקמת שטחי מסחר בקומת הקרקע בשטח כולל של עד515. מ""ר\n7']","Based on the context provided, the plan includes the following information about housing units:

1. The existing buildings contain 80 housing units in 2 buildings of 4 floors each.

2. The new plan proposes a total of 198 housing units (יחידות דיור) in 4 new buildings.

Therefore, the answer to the question ""כמה יחידות דיור מתוכננות בתכנית?"" (How many housing units are planned in the plan?) is:

198 יחידות דיור (198 housing units) are planned in this urban renewal project.",198,1.0
מה שטח התכנית בדונם?,"['שטח התכנית 26.092 דונם\n1.4', 'בעלי עניין/ בעלי זכויות בקרקע /עורך התכנית ובעלי מקצוע 1.8', 'מרחבי תכנון גובלים בתכנית 1.5.8\nבת ים שדרות ירושלים-קהילת קנדה4233  -']","Based on the context provided from planning document 507-0200352, the answer to the question is:

שטח התכנית: 26.092 דונם

This information is explicitly stated in the first line of the given context.",26.092,0.6666666666666666
?כמה יחידות דיור מתוכננות בתכנית,"[""דברי הסבר לתכנית\nהתוכנית הינה תוכנית התחדשות עירונית של אזור מגורים הממוקם בשכונת יפו ד' בגבול בין יפו לעיר בת-ים. התוכנית תואמת את המדיניות העירונית להתחדשות עירונית שנערכה לכל אזורי שיכוני דרום יפו.\nאזור התוכנית גובל באחד מצירי התנועה הראשיים בעיר - שדרות ירושלים בו עתידה לעבור הרכבת הקלה )הקו \nהאדום( .\nהמתחם משתרע על שטח של כ-26. דונם בין גבולות רחוב קהילת קנדה, רחוב הגיבורים ושדרות ירושלים\nהתכנית מציעה הריסת 8   מבנים קיימים הכוללים208  יחידות דיור ובניית12  - בנייני מגורים הכוללים כ800 \n .יחידות דיור בתמהיל יחידות דיור מגוון\nהבינוי המוצע כולל בנייה מרקמית בדופן שדרות ירושלים עד 9. קומות3  מבנים עד15 קומות לאורך רחוב \nקהילת קנדה. ו 3 - מגדלים בני19-29  קומות בבינוי הגובל לרחוב גיבורים ורחוב קהילת קנדה"", '\'מגורים ד 4.1\n ב.גודל יחידות דיור מינימלית לא יפחת מ60 .( מ""ר כולל )עיקרי+ממ""ד\n1-(כ34%   -  יחידות דיור קטנות בשטח כולל שלא יפחת מ60.( מ""ר )עיקרי+ממ""ד\n2 -(כ22%   יחידות דיור בינוניות בשטח כולל עד80.( מ""ר )עיקרי+ממ""ד\n3-(כ39%   יחידות דיור גדולות בשטח כולל עד100.( מ""ר )עיקרי+ממ""ד\n4-(כ5% -  יחידות דיור בשטח כולל שלא יפחת מ120  מ""ר  ולא יעלה150.( מ""ר )עיקרי+ממ""ד\nג.בסמכות הועדה המקומית לאשר סטייה בתמהיל יחידות דיור וכן בגדלי יחידות דיור בהיקף \nשלא יעלה על 10% , זאת במסגרת תוכנית העיצוב האדריכלי המפורטת לכל מתחם, ובלבד שלא \nתהיה חריגה מסך יחידות הדיור הכולל.\nמרתפים  \nא.יותרו עד 5   קומות מרתף בהתאם למפורט בטבלה5 .\nב.לא תותר הבלטת מרתפים מעל פני הפיתוח והמדרכות', 'עיקרי הוראות התכנית 2.2\n1 ..קביעת הוראות לאיחוד וחלוקה בעתיד\n2 .. קביעת הוראות לשינוי יעוד ממגורים ג\' למגורים ד\', לשטח ציבורי פתוח, ביטול דרכים והוספת דרכים חדשות\n3  -. קביעת הוראות ליעוד שטחים ציבורים פתוחים לטובת הציבור בשטח כולל של כ6.7. דונם\n4 .. קביעת הוראות לדרכים חדשות וביטול דרכים קיימות\n5 .. קביעת הוראות לקומת קרקע מסחרית פעילה לשדרות ירושלים\n6. קביעת הוראות לתוספת זכויות בנייה בהיקף של63,507   מ""ר מעבר לזכויות התקפות עד לסך של21,208. מ""ר\n7  .קביעת שטחים לטובת קומת קרקע מסחרית פעילה בהיקף של1,670. מ""ר כולל עיקרי ושירות\n8  .קביעת שטחים ציבוריים בנויים בתחום הפרויקט בהיקף של כ1000. מ""ר שטח עיקרי ושירות\n9  .קביעת הוראות לבניית800. יחידות דיור בתמהיל משתנה\n10  .קביעת גובה מקסימלי לבניינים עד ל106.5. מ\' מעל מפלס הכניסה הקובעת\n11  .קביעת מספר קומות בכל מגרש בהתאם להוראות הבינוי']","Based on the provided context from planning document 507-0200352, the plan includes the following regarding housing units:

1. Demolition of existing buildings: 8 buildings containing 208 housing units will be demolished.

2. New construction: 12 residential buildings are planned to be built.

3. Total planned housing units: The plan proposes approximately 800 new housing units (יחידות דיור) with a varied mix of apartment sizes.

So, to directly answer the question: The plan proposes to build approximately 800 housing units (יחידות דיור).",800,0.875
מה שטח התכנית בדונם?,"['שטח התכנית 10.702 דונם\n1.4', 'בעלי עניין/ בעלי זכויות בקרקע /עורך התכנית ובעלי מקצוע 1.8', 'מרחבי תכנון גובלים בתכנית 1.5.8\nלא רלוונטי, יד אליהו - התחדשות עירונית28 ,26 ,24  - לה גוארדיה4593 / -']","Based on the given context from planning document 507-0444315, the answer to the question is:

שטח התכנית: 10.702 דונם

This information is explicitly stated in the first line of the provided context.",10.702,0.6666666666666666
?כמה יחידות דיור מתוכננות בתכנית,"['עיקרי הוראות התכנית 2.2\n1  \'. קביעת הוראות ע""פ ס62)  א19  ( לחוק התו""ב, להריסת3   מבני מגורים הכוללים58 - יח""ד, ו10 יח\' מסחריות \n)חנויות( ברחוב לה גוארדייה 24 ,26 ,28.\n2. קביעת זכויות והוראות בניה בתחום התכנית לבנית עד228 - יח""ד, בבנייה עירונית בת כ9 קומות, ובגובה שלא \nיעלה על המותר לבניין גבוה על-פי התקנות, דהיינו: עד 29  מ\' גובה בין מפלס הכניסה הקובעת לבין מפלס רצפת \nהכניסה לדירה העליונה ביותר.\n3 .. קביעת הוראות לחזית מסחרית ברח\' לה גוארדיה ובשד\' המעפילים\n4. קביעת הוראות לאיחוד וחלוקה ללא הסכמה בחלק מתחום התכנית, עפ""י פרק ג\' סימן ז\' לחוק התכנון והבניה \nתשכ""ה - 1965.\n5 \' \'. הקצאת שטח ליעוד ""מבנים ומוסדות ציבור"" וקביעת הוראות בניה בהתאם, ושינוי ייעוד מ\'אזור מגורים א \nל\'שטח לבנייני ציבור\' בהתאמה.\n6  \'. קביעת הוראות ע""פ ס62 (א )א19   לחוק לזכות מעבר להולכי רגל בזיקת הנאה\n7. שינוי הוראות בינוי ועיצוב אדריכלי ע""פ סעיף62 (א )א5  לחוק התו""ב\n8']","Based on the context provided, the plan specifies the following regarding housing units:

228 יחידות דיור (יח""ד) מתוכננות בתכנית.

This is stated explicitly in point 2 of the document, which mentions:
""קביעת זכויות והוראות בניה בתחום התכנית לבנית עד 228 - יח""ד""

Meaning: ""Establishing rights and building instructions in the plan area for the construction of up to 228 housing units.""",228,0.75
מה שטח התכנית בדונם?,"['שטח התכנית 4.020 דונם\n1.4', 'בעלי עניין/ בעלי זכויות בקרקע /עורך התכנית ובעלי מקצוע 1.8', 'מרחבי תכנון גובלים בתכנית 1.5.8\nלא רלוונטי2-8  -']","Based on the context provided from planning document 507-0680413, the answer to the question is:

שטח התכנית: 4.020 דונם

The plan area is explicitly stated as 4.020 dunams in the first line of the given context.",4.020,0.6666666666666666
?כמה יחידות דיור מתוכננות בתכנית,"['טבלת זכויות והוראות בניה - מצב מוצע 5.\n \n יעודשימושתאי שטחגודל מגרש\n)מ""ר(שטחי בניה\n)מ""ר(מספר \nיח""דצפיפות \nיח""ד \nלדונםגובה \nמבנה- מעל \nהכניסה \nהקובעת\n)מטר(מספר \nקומותקו בנין\n)מטר(מרפסות-\nבנוסף \nלשטח \nהעיקרי\n)מ""ר(\nמעל הכניסה הקובעתמתחת \nלכניסה \nהקובעת\nגודל מגרש \nכלליעיקרישרותשרותסה""כ \nשטחי בניהמעל \nהכניסה \nהקובעתצידי- ימניצידי- \nשמאליאחוריקדמי\nמגוריםמגורים1980.46) \n1(788.46192) 2(833.3) 3(980.46) \n4(88) 5(154) 6(1.8) 7(3) 7(4496) 8(\nמגוריםמגורים2980.46) \n1(788.46192) 2(833.3) 3(980.46) \n4(88) 5(154) 6(1.8) 7(1.8) 7(4496) 8(\nמגוריםמגורים3980.46) \n1(788.46192) 2(833.3) 3(980.46) \n4(88) 5(154) 6(1.8) 7(1.8) 7(4496) 8(\nמגוריםמגורים4980.46) \n1(788.46192) 2(833.3) 3(980.46) \n4(88) 5(154) 6(3) 7(1.8) 7(4496) 8(\n.האמור בטבלה זו גובר, במקרה של סתירה, על הוראות כלליות אחרות, בין בהוראות התכנית ובין בתשריט המצב המוצע\nגם בטבלה עצמה גוברת הוראה מפורטת על הוראה כללית\nשטחי הבניה המפורטים בטבלה שלעיל כוללים את כל שטחי הבניה המירביים בתכנית זו\nהערכים בטבלה מתייחסים לכל תא שטח בנפרד גם אם הוגדר טווח תאי שטח\nהערות לטבלת זכויות והוראות בניה – מצב מוצע:\n)1 ( שטח רשום1005  פחות24.53', 'מטרת התכנית 2.1\n-ניצול מיטבי של זכויות הבניה ב4   חלקות קיימות צמודות בשטח כולל של3.921  דונם וקביעת הוראות בינוי \nועיצוב, שינוי קווי הבניין והגדלת מספר יחידות דיור מ- 16-  ל32  יחידות דיור . קביעת זכויות בניה בהתאם  \nלתוכנית תא/5000 .', ""דברי הסבר לתכנית\nשטח התוכנית נמצא ברחוב מנחם לילי 2-8. בקריית שאול\nהתוכנית המוצעת נועדה לקבוע ל 4   חלקות צמודות )חלקות7,8,9,10  בגוש6616 (, הוראות בדבר ניצול מיטבי של \nהקרקע על ידי שינוי בינוי ,שינוי קווי הבניין , \nהגדלת מספר יחידות דיור מ-16- ל32  ושילוב מרתף חניה תת קרקעי משותף . התכנית כוללת הוראות בינוי \nועיצוב.\nכולל שינוי בסך השטחים המותרים לבניה על פי תוכנית R6 /  ומימוש זכויות בניה בהתאם לתוכנית תא5000 .\n  התכנית מבטלת את החלטת הועדה המקומית לתכנון ובניה מספר14-0015-' ב3  מתאריך18/6/2014 לפיה יש \nלחלק את חלקה 8  בגוש6616. לשתי חלקות\nדף ההסבר מהווה רקע לתכנית ואינו חלק ממסמכיה הסטטוטוריים.\n 2-8  -""]","Based on the context provided, the plan includes the following key details regarding housing units:

1. Current number of housing units: 16
2. Planned number of housing units: 32

The plan aims to increase the number of housing units from 16 to 32, effectively doubling the existing amount. This is explicitly stated in both the ""Purpose of the Plan"" (מטרת התכנית) section and the ""Explanation of the Plan"" (דברי הסבר לתכנית) section.",32,0.7142857142857143
מה שטח התכנית בדונם?,"['שטח התכנית 55.234 דונם\n1.4', 'דברי הסבר לתכנית\nהתכנית חלה על שטח של כ- 55  דונם, באזור התחום ע""י רח\' סלמה מצפון ודרך בן צבי מדרום ואשר משמש\nברובו, ערב אישור התכנית, לשימושי מלאכה ותעשייה קלה. שטח התכנית עצמה תחום ע""י רחוב הזרם ממערב,\nרחוב היסוד מצפון, רחוב 3426', 'בעלי עניין/ בעלי זכויות בקרקע /עורך התכנית ובעלי מקצוע 1.8']","Based on the provided context from planning document 507-0766105, the area of the plan is 55.234 dunams (דונם).

This information is explicitly stated in the first line of the context: ""שטח התכנית 55.234 דונם"".",55.234,1.0
?כמה יחידות דיור מתוכננות בתכנית,"['ממזרח וברחוב התחיה מדרום\nהתכנית מהווה חלק ממכלול תכניות בניין עיר נוספות, הנמצאות בשלבי תכנון ומימוש שונים, החלות על רצף\nשל מתחמים אשר יוצרות ביחד מרחב אורבני חדש מעורב שימושים ומוטה מגורים, הכל בהתאם לחזון התכנוני\nאשר הותווה לאזור במסגרת תכנית המתאר של תל אביב-יפו, תא/5000 .\nמרחב התכנון נמצא בנגישות נוחה המבטיחה רמת שירות גבוהה למערך התחבורה הציבורית העתידי, אשר\nיכלול לעת מימושו המלא נתיבי תחבורה ציבורית )נת""צים(, תחנה במסגרת קו המטרו M1- )כ600 מ\'(, ותחנות\nבמסגרת הקו הירוק של הרכבת הקלה )כ-500 .(\' מ\nהתוכנית מסדירה את התשתית התכנונית עבור שכונת מגורים בהיקף של  890  יחידות דיור אשר בתחומה\nמשרדים בהיקף של 21,910   מ""ר שטח מבונה כולל במגרש למשרדים, אשר שטחו3.98 דונם ,הכולל מגדל\nמשרדים חדש לצד מבנה המשרדים הקיים', 'תותר  העברת יחידות דיור/ או זכויות הבנייה עבורן בין תאי שטח, ובלבד שהיקף הזכויות המעוברות לא יעלה על 10%  מהיקף הזכויות באותו תא שטח ממנו יועברו יח""ד וזכויות הבנייה, והכל בהתאם\nלתכנית העיצוב האדריכלי. - התחדשות עירונית מרחב הפלך4748/ -', '\'מגורים ד 4.1\nהנחיות מיוחדות  \n1 :. תמהיל יח""ד\nא. שטחי יחידות הדיור יהיו בתמהיל שטחים מגוון, שיכלול יח""ד קטנות, בינוניות וגדולות.\nב. תמהיל השטחים הסופי יקבע במסגרת תכניות העיצוב האדריכליות. ג. במסגרת תכניות העיצוב האדריכליות תובטח פריסת יח""ד מגוונת הן ברמת המתחם והן ברמת\nהמבנים הבודדים.\nד. השטח הממוצע ליח""ד יהיה כ- 85. ( מ""ר )שטח עיקרי ושטח הממ""ד\nה. תמהיל שטחי יחידות הדיור יכלול את המפורט להלן:\n)1  ( שיעור יחידות הדיור ששטחם עד65  מ""ר לא יפחת מ20%.\n)2  ( שיעור יחידות הדיור ששטחם בין86 מ""ר ל105 מ""ר לא יפחת מ25%.\n)3  ( שיעור יחידות הדיור ששטחם מעל106 מ""ר לא יפחת מ20% .\n2. אצירת אשפה ופריקה וטעינה: ההסדרים לאצירת ולפינוי אשפה וכן לפריקה וטעינה יהיו בתת\nהקרקע.\n3 :. ניוד זכויות מעל ומתחת לקרקע\nא. ניתן יהיה לנייד שטחים עיקריים ו/או שטחי השירות ממעל מפלס הכניסה אל מתחת למפלס\nהכניסה.\nב. לא ניתן יהיה לנייד שטחים מתת הקרקע אל מעל הקרקע']","Based on the provided context, the plan includes:

890 יחידות דיור (housing units)

This number is explicitly stated in the following sentence from the context:

""התוכנית מסדירה את התשתית התכנונית עבור שכונת מגורים בהיקף של 890 יחידות דיור""

Which translates to:
""The plan regulates the planning infrastructure for a residential neighborhood with a scope of 890 housing units""",890,1.0
מה שטח התכנית בדונם?,"['שטח התכנית 8.792 דונם\n1.4', 'בעלי עניין/ בעלי זכויות בקרקע /עורך התכנית ובעלי מקצוע 1.8']","Based on the context provided from planning document 507-0368191, the answer to the question is:

שטח התכנית: 8.792 דונם

This information is explicitly stated in the first line of the given context.",8.792,0.75
